Method,Simulation,Epoch,yBest
Joint,1,0,1.98116397857666
Joint,1,1,1.98116397857666
Joint,1,2,1.98116397857666
Joint,1,3,1.98116397857666
Joint,1,4,1.98116397857666
Joint,1,5,1.98116397857666
Joint,1,6,1.98116397857666
Joint,1,7,1.98116397857666
Joint,1,8,1.98116397857666
Joint,1,9,1.98116397857666
Joint,1,10,1.98116397857666
Joint,2,0,2.8252604007720947
Joint,2,1,2.8252604007720947
Joint,2,2,2.8252604007720947
Joint,2,3,2.8252604007720947
Joint,2,4,2.8252604007720947
Joint,2,5,2.8252604007720947
Joint,2,6,2.8252604007720947
Joint,2,7,2.8252604007720947
Joint,2,8,2.8252604007720947
Joint,2,9,2.8252604007720947
Joint,2,10,2.8252604007720947
Joint,3,0,2.207414388656616
Joint,3,1,2.207414388656616
Joint,3,2,2.207414388656616
Joint,3,3,2.207414388656616
Joint,3,4,2.207414388656616
Joint,3,5,2.207414388656616
Joint,3,6,2.207414388656616
Joint,3,7,2.207414388656616
Joint,3,8,2.207414388656616
Joint,3,9,2.207414388656616
Joint,3,10,2.207414388656616
Joint,4,0,2.960191011428833
Joint,4,1,2.960191011428833
Joint,4,2,2.960191011428833
Joint,4,3,2.960191011428833
Joint,4,4,2.960191011428833
Joint,4,5,2.960191011428833
Joint,4,6,2.960191011428833
Joint,4,7,2.960191011428833
Joint,4,8,2.960191011428833
Joint,4,9,2.960191011428833
Joint,4,10,2.960191011428833
Joint,5,0,2.6134192943573
Joint,5,1,2.6134192943573
Joint,5,2,2.6134192943573
Joint,5,3,2.6134192943573
Joint,5,4,2.6134192943573
Joint,5,5,2.6134192943573
Joint,5,6,2.6134192943573
Joint,5,7,2.6134192943573
Joint,5,8,2.6134192943573
Joint,5,9,2.6134192943573
Joint,5,10,2.6134192943573
Joint,6,0,3.245246410369873
Joint,6,1,3.245246410369873
Joint,6,2,3.245246410369873
Joint,6,3,3.245246410369873
Joint,6,4,3.245246410369873
Joint,6,5,3.245246410369873
Joint,6,6,3.245246410369873
Joint,6,7,3.245246410369873
Joint,6,8,3.245246410369873
Joint,6,9,3.245246410369873
Joint,6,10,3.245246410369873
Joint,7,0,1.87078595161438
Joint,7,1,1.87078595161438
Joint,7,2,1.87078595161438
Joint,7,3,1.87078595161438
Joint,7,4,1.87078595161438
Joint,7,5,1.87078595161438
Joint,7,6,1.87078595161438
Joint,7,7,1.87078595161438
Joint,7,8,1.87078595161438
Joint,7,9,1.87078595161438
Joint,7,10,1.87078595161438
Joint,8,0,2.008176803588867
Joint,8,1,2.008176803588867
Joint,8,2,2.008176803588867
Joint,8,3,2.008176803588867
Joint,8,4,2.008176803588867
Joint,8,5,2.008176803588867
Joint,8,6,2.008176803588867
Joint,8,7,2.008176803588867
Joint,8,8,2.008176803588867
Joint,8,9,2.008176803588867
Joint,8,10,2.008176803588867
Joint,9,0,1.8872885704040527
Joint,9,1,1.8872885704040527
Joint,9,2,1.8872885704040527
Joint,9,3,1.8872885704040527
Joint,9,4,1.8872885704040527
Joint,9,5,1.8872885704040527
Joint,9,6,1.8872885704040527
Joint,9,7,1.8872885704040527
Joint,9,8,1.8872885704040527
Joint,9,9,1.8872885704040527
Joint,9,10,1.8872885704040527
Joint,10,0,2.370516300201416
Joint,10,1,2.370516300201416
Joint,10,2,2.370516300201416
Joint,10,3,2.370516300201416
Joint,10,4,2.370516300201416
Joint,10,5,2.370516300201416
Joint,10,6,2.483220338821411
Joint,10,7,2.483220338821411
Joint,10,8,2.483220338821411
Joint,10,9,2.483220338821411
Joint,10,10,2.483220338821411
