Method,Simulation,Epoch,yBest
Separate,1,0,1.827610969543457
Separate,1,1,2.085470676422119
Separate,1,2,2.085470676422119
Separate,1,3,2.085470676422119
Separate,1,4,2.085470676422119
Separate,1,5,2.085470676422119
Separate,1,6,2.085470676422119
Separate,1,7,2.085470676422119
Separate,1,8,2.085470676422119
Separate,1,9,2.085470676422119
Separate,1,10,2.085470676422119
Separate,2,0,2.383970022201538
Separate,2,1,2.383970022201538
Separate,2,2,2.383970022201538
Separate,2,3,2.383970022201538
Separate,2,4,2.383970022201538
Separate,2,5,2.383970022201538
Separate,2,6,2.383970022201538
Separate,2,7,2.383970022201538
Separate,2,8,2.383970022201538
Separate,2,9,2.383970022201538
Separate,2,10,2.383970022201538
Separate,3,0,1.623489499092102
Separate,3,1,1.623489499092102
Separate,3,2,1.623489499092102
Separate,3,3,1.623489499092102
Separate,3,4,1.623489499092102
Separate,3,5,1.623489499092102
Separate,3,6,1.623489499092102
Separate,3,7,1.623489499092102
Separate,3,8,1.623489499092102
Separate,3,9,1.623489499092102
Separate,3,10,1.623489499092102
Separate,4,0,2.0492453575134277
Separate,4,1,2.0492453575134277
Separate,4,2,2.0492453575134277
Separate,4,3,2.0492453575134277
Separate,4,4,2.0492453575134277
Separate,4,5,2.5888922214508057
Separate,4,6,2.5888922214508057
Separate,4,7,2.5888922214508057
Separate,4,8,2.5888922214508057
Separate,4,9,2.5888922214508057
Separate,4,10,2.5888922214508057
Separate,5,0,1.7653132677078247
Separate,5,1,1.7653132677078247
Separate,5,2,1.7653132677078247
Separate,5,3,1.7653132677078247
Separate,5,4,1.7653132677078247
Separate,5,5,1.7653132677078247
Separate,5,6,1.7653132677078247
Separate,5,7,1.7653132677078247
Separate,5,8,1.7653132677078247
Separate,5,9,1.7653132677078247
Separate,5,10,1.7653132677078247
Separate,6,0,2.3480303287506104
Separate,6,1,2.3480303287506104
Separate,6,2,2.3480303287506104
Separate,6,3,2.3480303287506104
Separate,6,4,2.3480303287506104
Separate,6,5,2.3480303287506104
Separate,6,6,2.3480303287506104
Separate,6,7,2.3480303287506104
Separate,6,8,2.3480303287506104
Separate,6,9,2.3480303287506104
Separate,6,10,2.3480303287506104
Separate,7,0,2.0165932178497314
Separate,7,1,2.0165932178497314
Separate,7,2,2.0165932178497314
Separate,7,3,2.0165932178497314
Separate,7,4,2.0165932178497314
Separate,7,5,2.0165932178497314
Separate,7,6,2.0165932178497314
Separate,7,7,2.0165932178497314
Separate,7,8,2.0165932178497314
Separate,7,9,2.0165932178497314
Separate,7,10,2.0165932178497314
Separate,8,0,2.345912218093872
Separate,8,1,2.345912218093872
Separate,8,2,2.345912218093872
Separate,8,3,2.345912218093872
Separate,8,4,2.345912218093872
Separate,8,5,2.345912218093872
Separate,8,6,2.345912218093872
Separate,8,7,2.345912218093872
Separate,8,8,2.345912218093872
Separate,8,9,2.345912218093872
Separate,8,10,2.345912218093872
Separate,9,0,1.1890201568603516
Separate,9,1,1.1890201568603516
Separate,9,2,1.1890201568603516
Separate,9,3,1.1890201568603516
Separate,9,4,1.1890201568603516
Separate,9,5,1.1890201568603516
Separate,9,6,1.1890201568603516
Separate,9,7,1.1890201568603516
Separate,9,8,1.1890201568603516
Separate,9,9,1.1890201568603516
Separate,9,10,1.1890201568603516
Separate,10,0,2.0682969093322754
Separate,10,1,2.0682969093322754
Separate,10,2,2.0682969093322754
Separate,10,3,2.0682969093322754
Separate,10,4,2.0682969093322754
Separate,10,5,2.0682969093322754
Separate,10,6,2.0682969093322754
Separate,10,7,2.0682969093322754
Separate,10,8,2.0682969093322754
Separate,10,9,2.0682969093322754
Separate,10,10,2.0682969093322754
