Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,100,10,0.0,,,,1.8242614269256592,1.8242614269256592
Separate,1,1,100,10,0.0,"[[2.5604538917541504, 4.57443380355835, 2.9739532470703125, 3.931471824645996, 1.6673738956451416, 3.58526611328125]]",1.8130478858947754,0.0118255028501153,1.8242614269256592,1.8242614269256592
Separate,1,2,100,10,0.0,"[[2.831242561340332, 2.8005881309509277, 3.9229345321655273, 1.9576889276504517, 3.9468793869018555, 3.7359864711761475]]",3.8597466945648193,0.012294021435081959,1.8242614269256592,1.8242614269256592
Separate,1,3,100,10,0.0,"[[4.396547317504883, 3.179447889328003, 3.3977134227752686, 3.1972458362579346, 5.5163164138793945, 2.455918073654175]]",3.912210702896118,0.01166248694062233,1.8242614269256592,1.8242614269256592
Separate,1,4,100,10,0.0,"[[4.2587199211120605, 5.94159460067749, 2.4386308193206787, 4.96166467666626, 5.294021129608154, 5.855750560760498]]",3.9656026363372803,0.006537450477480888,1.8242614269256592,1.8242614269256592
Separate,1,5,100,10,0.0,"[[2.480459690093994, 3.977057695388794, 0.8430668115615845, 4.26682186126709, 3.8622705936431885, 5.011849403381348]]",2.473489761352539,0.005938560701906681,1.8242614269256592,1.8242614269256592
Separate,1,6,100,10,0.0,"[[2.609480857849121, 3.2676548957824707, 1.6520479917526245, 3.388151168823242, 5.466128349304199, 5.064628601074219]]",2.4783477783203125,0.008533667773008347,1.8242614269256592,1.8242614269256592
Separate,1,7,100,10,0.0,"[[2.2290406227111816, 4.494726181030273, 3.584462881088257, 3.6421940326690674, 7.208295822143555, 4.2782769203186035]]",3.0646445751190186,0.013571488671004772,1.8242614269256592,1.8242614269256592
Separate,1,8,100,10,0.0,"[[4.350496768951416, 4.5118207931518555, 1.8725017309188843, 3.8402156829833984, 3.6050734519958496, 3.840782642364502]]",4.042651176452637,0.008602246642112732,1.8242614269256592,1.8242614269256592
Separate,1,9,100,10,0.0,"[[3.112699031829834, 1.4611964225769043, 3.8495664596557617, 4.7920308113098145, 3.556645631790161, 3.971292734146118]]",5.146168231964111,0.0049063293263316154,1.8242614269256592,1.8242614269256592
Separate,1,10,100,10,0.0,"[[3.767897605895996, 2.872610092163086, 4.073403358459473, 3.117624044418335, 1.0222893953323364, 2.7923824787139893]]",4.1739935874938965,0.004220687318593264,1.8242614269256592,1.8242614269256592
Separate,2,0,100,10,0.0,,,,1.622288465499878,1.622288465499878
