Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,200,200,0.0,,,,2.588249444961548,2.588249444961548
Separate,1,1,200,200,0.0,"[[0.1664809286594391, 0.15139052271842957, 0.2886092960834503, 0.024212241172790527, 0.15974482893943787, 0.1557781994342804]]",2.9034080505371094,2.2445716857910156,2.588249444961548,2.588249444961548
Separate,1,2,200,200,0.0,"[[0.15022918581962585, 0.08497463166713715, 0.15679514408111572, 0.165890172123909, 0.24465268850326538, 0.12922075390815735]]",4.086309432983398,2.7683258056640625,2.8241515159606934,2.8241515159606934
Separate,1,3,200,200,0.0,"[[0.08600171655416489, 0.31259262561798096, 0.09090267866849899, 0.06536216288805008, 0.18042868375778198, 0.21858151257038116]]",3.288654088973999,2.7445902824401855,2.8241515159606934,2.8241515159606934
Separate,1,4,200,200,0.0,"[[0.23502570390701294, 0.20821337401866913, 0.04161849617958069, 0.06143586337566376, 0.2148306518793106, 0.18003779649734497]]",3.7173526287078857,3.331367015838623,2.8241515159606934,2.8241515159606934
Separate,1,5,200,200,0.0,"[[0.13890141248703003, 0.038710132241249084, 0.11029446870088577, 0.08423010259866714, 0.14799299836158752, 0.1653006225824356]]",2.6137137413024902,3.9965150356292725,2.8241515159606934,2.8241515159606934
Separate,1,6,200,200,0.0,"[[0.09172212332487106, 1.5198183059692383, 0.12162628769874573, 0.2346482127904892, 0.0743865817785263, 0.08413464576005936]]",3.9129245281219482,2.2905118465423584,2.9685354232788086,2.9685354232788086
Separate,1,7,200,200,0.0,"[[0.16124938428401947, 0.12641848623752594, 0.07853871583938599, 0.106873519718647, 0.04637593403458595, 0.14168065786361694]]",2.983293056488037,1.7873353958129883,2.9685354232788086,2.9685354232788086
Separate,1,8,200,200,0.0,"[[1.1880254745483398, 0.944420337677002, 0.06412895768880844, 1.10859215259552, 1.3557758331298828, 0.035444699227809906]]",0.047597188502550125,1.2314186096191406,2.9685354232788086,2.9685354232788086
Separate,1,9,200,200,0.0,"[[0.12602008879184723, 0.17610158026218414, 0.07047300040721893, 0.12521043419837952, 0.06701866537332535, 0.09644903242588043]]",3.0858399868011475,1.9805176258087158,2.9685354232788086,2.9685354232788086
Separate,1,10,200,200,0.0,"[[0.06122974678874016, 0.43798741698265076, 0.134327232837677, 0.18099328875541687, 0.09199026972055435, 0.10091497004032135]]",4.4527435302734375,3.7307775020599365,2.9685354232788086,2.9685354232788086
Separate,1,11,200,200,0.0,"[[0.14107318222522736, 0.1448267102241516, 0.04307500272989273, 0.11872345954179764, 0.07226184755563736, 0.40044188499450684]]",3.2443225383758545,3.3221449851989746,2.9685354232788086,2.9685354232788086
