Method,Simulation,Epoch,Actions,Noise,yBest
Joint,1,0,2,1.0,3.4010941982269287
Joint,1,1,2,1.0,3.4010941982269287
Joint,1,2,2,1.0,3.4010941982269287
Joint,1,3,2,1.0,3.4010941982269287
Joint,1,4,2,1.0,3.4010941982269287
Joint,1,5,2,1.0,3.4010941982269287
Joint,1,6,2,1.0,3.4010941982269287
Joint,1,7,2,1.0,3.4010941982269287
Joint,1,8,2,1.0,3.4010941982269287
Joint,1,9,2,1.0,3.4010941982269287
Joint,1,10,2,1.0,3.4010941982269287
Joint,1,11,2,1.0,3.4010941982269287
Joint,1,12,2,1.0,3.4010941982269287
Joint,1,13,2,1.0,3.4010941982269287
Joint,1,14,2,1.0,3.4010941982269287
Joint,1,15,2,1.0,3.4010941982269287
Joint,1,16,2,1.0,3.4010941982269287
Joint,1,17,2,1.0,3.4010941982269287
Joint,1,18,2,1.0,3.4010941982269287
Joint,1,19,2,1.0,3.4010941982269287
Joint,1,20,2,1.0,3.4010941982269287
Joint,2,0,2,1.0,2.6013340950012207
Joint,2,1,2,1.0,2.6013340950012207
Joint,2,2,2,1.0,2.6013340950012207
Joint,2,3,2,1.0,2.6013340950012207
Joint,2,4,2,1.0,2.6013340950012207
Joint,2,5,2,1.0,2.6013340950012207
Joint,2,6,2,1.0,2.6013340950012207
Joint,2,7,2,1.0,2.6013340950012207
Joint,2,8,2,1.0,2.6013340950012207
Joint,2,9,2,1.0,2.6013340950012207
Joint,2,10,2,1.0,2.6013340950012207
Joint,2,11,2,1.0,2.6013340950012207
Joint,2,12,2,1.0,2.6013340950012207
Joint,2,13,2,1.0,2.6013340950012207
Joint,2,14,2,1.0,2.6013340950012207
Joint,2,15,2,1.0,2.6013340950012207
Joint,2,16,2,1.0,2.6013340950012207
Joint,2,17,2,1.0,2.6013340950012207
Joint,2,18,2,1.0,2.6013340950012207
Joint,2,19,2,1.0,2.6013340950012207
Joint,2,20,2,1.0,2.6013340950012207
Joint,3,0,2,1.0,2.6277098655700684
Joint,3,1,2,1.0,2.6277098655700684
Joint,3,2,2,1.0,2.6277098655700684
Joint,3,3,2,1.0,2.6277098655700684
Joint,3,4,2,1.0,2.6277098655700684
Joint,3,5,2,1.0,2.6277098655700684
Joint,3,6,2,1.0,2.6277098655700684
