Method,Simulation,Epoch,Actions,Noise,yBest
Joint,1,0,2,0.25,1.992095708847046
Joint,1,1,2,0.25,1.992095708847046
Joint,1,2,2,0.25,1.992095708847046
Joint,1,3,2,0.25,1.992095708847046
Joint,1,4,2,0.25,1.992095708847046
Joint,1,5,2,0.25,1.992095708847046
Joint,1,6,2,0.25,1.992095708847046
Joint,1,7,2,0.25,1.992095708847046
Joint,1,8,2,0.25,1.992095708847046
Joint,1,9,2,0.25,1.992095708847046
Joint,1,10,2,0.25,1.992095708847046
Joint,1,11,2,0.25,1.992095708847046
Joint,1,12,2,0.25,1.992095708847046
Joint,1,13,2,0.25,1.992095708847046
Joint,1,14,2,0.25,1.992095708847046
Joint,1,15,2,0.25,1.992095708847046
Joint,1,16,2,0.25,1.992095708847046
Joint,1,17,2,0.25,1.992095708847046
Joint,1,18,2,0.25,1.992095708847046
Joint,1,19,2,0.25,1.992095708847046
Joint,1,20,2,0.25,1.992095708847046
Joint,2,0,2,0.25,1.8854260444641113
Joint,2,1,2,0.25,1.8854260444641113
Joint,2,2,2,0.25,1.8854260444641113
Joint,2,3,2,0.25,1.8854260444641113
Joint,2,4,2,0.25,1.8854260444641113
Joint,2,5,2,0.25,1.8854260444641113
Joint,2,6,2,0.25,1.8854260444641113
Joint,2,7,2,0.25,1.8854260444641113
Joint,2,8,2,0.25,1.8854260444641113
Joint,2,9,2,0.25,1.8854260444641113
Joint,2,10,2,0.25,1.8854260444641113
Joint,2,11,2,0.25,1.8854260444641113
Joint,2,12,2,0.25,2.3743345737457275
Joint,2,13,2,0.25,2.3743345737457275
Joint,2,14,2,0.25,2.3743345737457275
Joint,2,15,2,0.25,2.3743345737457275
Joint,2,16,2,0.25,2.3743345737457275
Joint,2,17,2,0.25,2.3743345737457275
Joint,2,18,2,0.25,2.3743345737457275
Joint,2,19,2,0.25,2.3743345737457275
Joint,2,20,2,0.25,2.3743345737457275
Joint,3,0,2,0.25,2.0583555698394775
Joint,3,1,2,0.25,2.0583555698394775
Joint,3,2,2,0.25,2.0583555698394775
Joint,3,3,2,0.25,2.0583555698394775
Joint,3,4,2,0.25,2.0583555698394775
Joint,3,5,2,0.25,2.0583555698394775
Joint,3,6,2,0.25,2.0583555698394775
Joint,3,7,2,0.25,2.0583555698394775
Joint,3,8,2,0.25,2.0583555698394775
Joint,3,9,2,0.25,2.0583555698394775
Joint,3,10,2,0.25,2.0583555698394775
Joint,3,11,2,0.25,2.0583555698394775
Joint,3,12,2,0.25,2.0583555698394775
Joint,3,13,2,0.25,2.0583555698394775
Joint,3,14,2,0.25,2.0583555698394775
Joint,3,15,2,0.25,2.0583555698394775
Joint,3,16,2,0.25,2.0583555698394775
Joint,3,17,2,0.25,2.0583555698394775
Joint,3,18,2,0.25,2.0583555698394775
Joint,3,19,2,0.25,2.0583555698394775
Joint,3,20,2,0.25,2.0583555698394775
Joint,4,0,2,0.25,1.8449959754943848
Joint,4,1,2,0.25,1.8449959754943848
Joint,4,2,2,0.25,1.8449959754943848
Joint,4,3,2,0.25,1.8449959754943848
Joint,4,4,2,0.25,1.8449959754943848
Joint,4,5,2,0.25,1.8449959754943848
Joint,4,6,2,0.25,1.8449959754943848
Joint,4,7,2,0.25,1.8449959754943848
Joint,4,8,2,0.25,1.8449959754943848
Joint,4,9,2,0.25,1.8449959754943848
Joint,4,10,2,0.25,1.8449959754943848
Joint,4,11,2,0.25,1.8449959754943848
Joint,4,12,2,0.25,1.8449959754943848
Joint,4,13,2,0.25,1.8449959754943848
Joint,4,14,2,0.25,1.8449959754943848
Joint,4,15,2,0.25,1.8449959754943848
Joint,4,16,2,0.25,1.8449959754943848
Joint,4,17,2,0.25,1.8449959754943848
Joint,4,18,2,0.25,1.8449959754943848
Joint,4,19,2,0.25,1.8449959754943848
Joint,4,20,2,0.25,1.8449959754943848
Joint,5,0,2,0.25,2.873631715774536
Joint,5,1,2,0.25,2.873631715774536
Joint,5,2,2,0.25,2.873631715774536
Joint,5,3,2,0.25,2.873631715774536
Joint,5,4,2,0.25,2.873631715774536
Joint,5,5,2,0.25,2.873631715774536
Joint,5,6,2,0.25,2.873631715774536
Joint,5,7,2,0.25,2.873631715774536
Joint,5,8,2,0.25,2.873631715774536
Joint,5,9,2,0.25,2.873631715774536
