Method,Simulation,Epoch,Actions,Noise,obsBest,trueBest
Separate,1,0,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,1,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,2,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,3,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,4,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,5,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,6,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,7,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,8,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,9,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,10,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,11,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,12,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,13,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,14,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,15,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,16,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,17,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,18,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,19,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,1,20,5,0.009999999776482582,2.4821419715881348,2.4146127700805664
Separate,2,0,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,1,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,2,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,3,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,4,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,5,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,6,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,7,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,8,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,9,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,10,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,11,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,12,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,13,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,14,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,15,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,16,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,17,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,18,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,19,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,2,20,5,0.009999999776482582,2.3735437393188477,2.3191263675689697
Separate,3,0,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,1,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,2,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,3,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,4,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,5,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,6,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,7,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,8,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,9,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,10,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,11,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,12,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,13,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,14,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,15,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,16,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,17,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,18,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,19,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,3,20,5,0.009999999776482582,2.6457953453063965,2.71401309967041
Separate,4,0,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,1,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,2,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,3,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,4,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,5,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,6,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,7,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,8,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,9,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,10,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,11,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,12,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,13,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
Separate,4,14,5,0.009999999776482582,1.4086674451828003,1.3960191011428833
