Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,10,10 Actions,0.0,,,,1.5856165885925293,1.5856165885925293,
Separate,1,1,101,10,10 Actions,0.0,"[[4.291922092437744, 4.862423419952393, 2.0357754230499268, 4.835068225860596, 4.4129509925842285, 4.34705114364624]]",5.058107376098633,0.0026263559702783823,1.5856165885925293,1.5856165885925293,16.338592158
Separate,1,2,102,10,10 Actions,0.0,"[[4.154085636138916, 6.053605079650879, 2.6507599353790283, 6.794014930725098, 6.286165714263916, 6.010743141174316]]",7.016835689544678,0.00021188921527937055,1.5856165885925293,1.5856165885925293,13.301328707999996
Separate,1,3,103,10,10 Actions,0.0,"[[3.2278144359588623, 7.2156500816345215, 3.5058250427246094, 8.36459732055664, 8.11833667755127, 7.891011714935303]]",8.958724021911621,1.765915658324957e-05,1.5856165885925293,1.5856165885925293,13.449866743999998
Separate,1,4,104,10,10 Actions,0.0,"[[3.290587902069092, 7.283141613006592, 3.6299030780792236, 8.7471342086792, 8.382966995239258, 8.117127418518066]]",9.301373481750488,6.939159447938437e-06,1.5856165885925293,1.5856165885925293,13.301231232
Separate,1,5,105,10,10 Actions,0.0,"[[3.020627737045288, 7.809176921844482, 3.9171526432037354, 9.218636512756348, 8.917860984802246, 8.594696998596191]]",9.918913841247559,2.754425167950103e-06,1.5856165885925293,1.5856165885925293,13.256731543999997
Separate,1,6,106,10,10 Actions,0.0,"[[2.8648641109466553, 8.277032852172852, 4.092672824859619, 9.753294944763184, 9.235536575317383, 9.1379976272583]]",10.456053733825684,1.060177737599588e-06,1.5856165885925293,1.5856165885925293,13.389025877999998
Separate,1,7,107,10,10 Actions,0.0,"[[2.6496829986572266, 8.700970649719238, 3.907789707183838, 10.198494911193848, 9.749155044555664, 9.722306251525879]]",11.0343656539917,4.5090794742463913e-07,1.5856165885925293,1.5856165885925293,14.291719869000005
Separate,1,8,108,10,10 Actions,0.0,"[[2.817430019378662, 8.94526481628418, 3.714449644088745, 10.468780517578125, 9.996176719665527, 9.986189842224121]]",11.36214828491211,2.497108937404846e-07,1.5856165885925293,1.5856165885925293,14.581040478000006
Separate,1,9,109,10,10 Actions,0.0,"[[2.4703969955444336, 8.610214233398438, 4.110316753387451, 11.130423545837402, 10.765178680419922, 10.702910423278809]]",12.141380310058594,6.326814627755084e-08,1.5856165885925293,1.5856165885925293,14.67064713500001
Separate,1,10,110,10,10 Actions,0.0,"[[2.2288434505462646, 8.607665061950684, 3.8336057662963867, 11.640254020690918, 11.2229585647583, 11.132552146911621]]",12.681105613708496,2.5691095473234782e-08,1.5856165885925293,1.5856165885925293,14.978054291000007
Separate,1,11,111,10,10 Actions,0.0,"[[2.12331223487854, 8.794513702392578, 4.021964073181152, 11.86024284362793, 11.488452911376953, 11.316807746887207]]",12.953857421875,1.6151027182331745e-08,1.5856165885925293,1.5856165885925293,15.172978005999994
Separate,1,12,112,10,10 Actions,0.0,"[[1.8523266315460205, 9.366154670715332, 4.547815322875977, 12.456252098083496, 12.030652046203613, 11.72122859954834]]",13.593513488769531,5.2886588441936055e-09,1.5856165885925293,1.5856165885925293,15.288744701000013
Separate,1,13,113,10,10 Actions,0.0,"[[1.7489267587661743, 9.613401412963867, 4.655641078948975, 12.731335639953613, 12.391115188598633, 12.094419479370117]]",13.95997142791748,2.9392341893696994e-09,1.5856165885925293,1.5856165885925293,15.172572857999995
