Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,10,sqrt(N) Actions,0.0,,,,2.116788625717163,2.116788625717163,
Separate,1,1,101,10,sqrt(N) Actions,0.0,"[[3.853628396987915, 3.8832590579986572, 4.017319679260254, 5.078067302703857, 5.903283596038818, 4.584861755371094]]",3.807042360305786,0.0055979918688535,2.116788625717163,2.116788625717163,6.744609507
Separate,1,2,102,10,sqrt(N) Actions,0.0,"[[4.613285064697266, 3.622868776321411, 4.5638628005981445, 1.506756067276001, 3.8828213214874268, 2.004291296005249]]",3.5078604221343994,0.0118546271696686,2.116788625717163,2.116788625717163,5.243790954
Separate,1,3,103,10,sqrt(N) Actions,0.0,"[[3.828747272491455, 4.284429550170898, 3.204237222671509, 3.1969048976898193, 5.474928379058838, 3.584815502166748]]",3.4862163066864014,0.0148878656327724,2.116788625717163,2.116788625717163,5.326238419000001
Separate,1,4,104,10,sqrt(N) Actions,0.0,"[[3.74651837348938, 6.544494152069092, 2.507979393005371, 5.4206414222717285, 3.8782005310058594, 6.426113128662109]]",4.17557954788208,0.0636179521679878,2.116788625717163,2.116788625717163,5.221526731999997
Separate,1,5,105,10,sqrt(N) Actions,0.0,"[[3.471256971359253, 3.910496473312378, 0.6172283887863159, 4.622657775878906, 2.7126858234405518, 2.9522204399108887]]",4.979866027832031,0.0042221192270517,2.116788625717163,2.116788625717163,5.316264212
Separate,1,6,106,10,sqrt(N) Actions,0.0,"[[3.791313648223877, 4.805735111236572, 4.1318511962890625, 4.1419782638549805, 3.2815916538238525, 4.582329750061035]]",3.484160900115967,0.0180513747036457,2.116788625717163,2.116788625717163,5.388130051000001
Separate,1,7,107,10,sqrt(N) Actions,0.0,"[[3.556269884109497, 3.9701030254364014, 2.6237399578094482, 4.432665824890137, 2.9190175533294678, 2.2471344470977783]]",4.888670921325684,0.0082117347046732,2.116788625717163,2.116788625717163,5.223828091999998
Separate,1,8,108,10,sqrt(N) Actions,0.0,"[[2.314957618713379, 2.9266154766082764, 2.1753368377685547, 3.068939685821533, 3.581853151321411, 2.4440383911132812]]",3.472531080245972,0.0077514722943305,2.116788625717163,2.116788625717163,5.369955967999999
Separate,1,9,109,10,sqrt(N) Actions,0.0,"[[2.235130548477173, 3.7848892211914062, 1.8218598365783691, 4.409212112426758, 4.531519889831543, 4.209746360778809]]",4.270562171936035,0.012647065334022,2.116788625717163,2.116788625717163,5.466984431999997
