Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,1,0,100,15,0.0,,,,2.1465256214141846,2.1465256214141846
Separate,1,1,100,15,0.0,"[[2.28487491607666, 4.467752933502197, 3.045166015625, 3.305259943008423, 3.3282463550567627, 3.4811079502105713]]",3.418972969055176,0.012000104412436485,2.1465256214141846,2.1465256214141846
Separate,1,2,100,15,0.0,"[[1.059218406677246, 2.9076554775238037, 3.4608449935913086, 4.630245685577393, 2.424048900604248, 3.0131402015686035]]",4.985437393188477,0.010693194344639778,2.1465256214141846,2.1465256214141846
Separate,1,3,100,15,0.0,"[[4.35829496383667, 6.537890911102295, 1.962201476097107, 4.2206525802612305, 2.963433027267456, 3.1324284076690674]]",3.0922441482543945,0.0251147523522377,2.1465256214141846,2.1465256214141846
Separate,1,4,100,15,0.0,"[[4.918122291564941, 3.2036359310150146, 5.2428178787231445, 1.7527579069137573, 1.2285244464874268, 5.148892879486084]]",3.208214044570923,0.0047638011164963245,2.1465256214141846,2.1465256214141846
Separate,1,5,100,15,0.0,"[[1.384681224822998, 2.952857494354248, 3.880366802215576, 3.979832649230957, 4.422818183898926, 3.8057546615600586]]",5.099332332611084,0.01979791931807995,2.1465256214141846,2.1465256214141846
Separate,1,6,100,15,0.0,"[[4.678631782531738, 2.9745872020721436, 4.403453350067139, 2.5757813453674316, 3.1679468154907227, 3.0244505405426025]]",4.538661479949951,0.018763121217489243,2.1465256214141846,2.1465256214141846
Separate,1,7,100,15,0.0,"[[4.302724361419678, 5.98016881942749, 1.4164618253707886, 5.282411575317383, 4.6534743309021, 5.462032794952393]]",2.8024351596832275,0.0075924997217953205,2.1465256214141846,2.1465256214141846
Separate,1,8,100,15,0.0,"[[3.2984538078308105, 1.618200659751892, 5.220641136169434, 3.2330915927886963, 2.9041779041290283, 5.505638599395752]]",2.8594553470611572,0.006060492247343063,2.1465256214141846,2.1465256214141846
Separate,1,9,100,15,0.0,"[[2.236189603805542, 1.8203684091567993, 2.957815408706665, 5.2617974281311035, 4.009455680847168, 1.9423637390136719]]",3.0607340335845947,0.015233290381729603,2.1465256214141846,2.1465256214141846
Separate,1,10,100,15,0.0,"[[1.7897748947143555, 3.3927836418151855, 3.852468729019165, 2.6776883602142334, 4.153019428253174, 3.92142653465271]]",2.82997727394104,0.009081916883587837,2.1465256214141846,2.1465256214141846
Separate,1,11,100,15,0.0,"[[1.8641449213027954, 3.298649311065674, 3.09287691116333, 3.0934853553771973, 2.3344178199768066, 3.082794666290283]]",2.29549241065979,0.006473653484135866,2.1465256214141846,2.1465256214141846
Separate,1,12,100,15,0.0,"[[4.483490943908691, 5.376927375793457, 3.0091938972473145, 2.7529046535491943, 1.8090388774871826, 4.226437091827393]]",4.313605308532715,0.009181701578199863,2.1465256214141846,2.1465256214141846
Separate,1,13,100,15,0.0,"[[3.3402671813964844, 1.699517011642456, 3.2781031131744385, 2.545811176300049, 3.5162112712860107, 4.795566558837891]]",3.231924057006836,0.021892040967941284,2.1465256214141846,2.1465256214141846
Separate,1,14,100,15,0.0,"[[4.580490589141846, 2.4896631240844727, 3.359370708465576, 1.159240961074829, 2.3590927124023438, 5.1190690994262695]]",2.657686710357666,0.00523344986140728,2.1465256214141846,2.1465256214141846
Separate,1,15,100,15,0.0,"[[1.8526768684387207, 2.5175836086273193, 3.6668574810028076, 2.4700188636779785, 4.451089859008789, 4.065731525421143]]",1.9130635261535645,0.0157680194824934,2.1465256214141846,2.1465256214141846
