Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,15,0.0,,,,2.3767406940460205,2.3767406940460205,
Separate,1,1,100,15,0.0,"[[4.656704425811768, 4.773000240325928, 2.8279404640197754, 5.820990562438965, 3.9367990493774414, 4.9596991539001465]]",5.357512950897217,0.040068965405225754,2.3767406940460205,2.3767406940460205,24.547618188000342
Separate,1,2,100,15,0.0,"[[3.5016708374023438, 4.03367805480957, 1.0520596504211426, 4.711888313293457, 4.038519859313965, 5.488966464996338]]",4.320065498352051,0.009194300509989262,2.3767406940460205,2.3767406940460205,24.687140255002305
Separate,1,3,100,15,0.0,"[[2.662144422531128, 3.9567172527313232, 3.653616428375244, 1.8280988931655884, 2.86623477935791, 4.571416854858398]]",2.745100259780884,0.008677935227751732,2.3767406940460205,2.3767406940460205,24.82687150100537
Separate,1,4,100,15,0.0,"[[3.3324296474456787, 3.129075050354004, 2.6519947052001953, 3.5544562339782715, 4.566737174987793, 3.79689359664917]]",2.1807305812835693,0.01775415614247322,2.3767406940460205,2.3767406940460205,24.908355182000378
Separate,1,5,100,15,0.0,"[[2.865349531173706, 5.702123165130615, 4.453279495239258, 3.1979427337646484, 1.7299240827560425, 4.886673927307129]]",4.063065052032471,0.014501392841339111,2.3767406940460205,2.3767406940460205,24.850630425004056
Separate,1,6,100,15,0.0,"[[3.7443904876708984, 3.1182944774627686, 2.2846591472625732, 4.531231880187988, 2.5562586784362793, 4.350996971130371]]",4.8433403968811035,0.01033688336610794,2.3767406940460205,2.3767406940460205,24.279518450995965
Separate,1,7,100,15,0.0,"[[2.8254823684692383, 5.473639965057373, 3.017064094543457, 3.178746223449707, 4.893331527709961, 4.93491792678833]]",4.37028694152832,0.010962951928377151,2.3767406940460205,2.3767406940460205,24.28258492799796
Separate,1,8,100,15,0.0,"[[5.206847190856934, 3.7166922092437744, 3.9273488521575928, 4.808186054229736, 5.003632545471191, 4.972421646118164]]",2.9868407249450684,0.007410000544041395,2.3767406940460205,2.3767406940460205,24.393040319999272
Separate,1,9,100,15,0.0,"[[2.426222801208496, 4.024343013763428, 2.63227915763855, 1.5625286102294922, 2.6992857456207275, 2.3004395961761475]]",2.5407586097717285,0.008510696701705456,2.3767406940460205,2.3767406940460205,24.401641760996426
